t,W1L,W2R,W3B,M1L,M2L,M3L,M4L,M5L,M6L,M1R,M2R,M3R,M4R,M5R,M6R
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,16
0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,1
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,3
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,5
0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,8
0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,11
0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,-17,16
0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,-22,21
0.072,0,0,0,0,0,0,0,0,0,0,0,0,0,-27,26
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,-33,33
0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,-40,39
0.096,0,0,0,0,0,0,0,0,0,0,0,0,0,-48,47
0.104,0,0,0,0,0,0,0,0,0,0,0,0,0,-56,55
0.112,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,64
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,-74,73
0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,-83,83
0.136,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,94
0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,-105,105
0.152,0,0,0,0,0,0,0,0,0,0,0,0,0,-117,117
0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,-129,129
0.168,0,0,0,0,0,0,0,0,0,0,0,0,0,-142,142
0.176,0,0,0,0,0,0,0,0,0,0,0,0,0,-156,156
0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,-170,170
0.192,0,0,0,0,0,0,0,0,0,0,0,0,0,-184,185
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-200,200
0.208,0,0,0,0,0,0,0,0,0,0,0,0,0,-216,216
0.216,0,0,0,0,0,0,0,0,0,0,0,0,0,-232,233
0.224,0,0,0,0,0,0,0,0,0,0,0,0,0,-249,250
0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,-267,268
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,-285,286
0.248,0,0,0,0,0,0,0,0,0,0,0,0,0,-303,305
0.256,0,0,0,0,0,0,0,0,0,0,0,0,0,-323,324
0.264,0,0,0,0,0,0,0,0,0,0,0,0,0,-342,344
0.272,0,0,0,0,0,0,0,0,0,0,0,0,0,-363,364
0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,-384,386
0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,-405,407
0.296,0,0,0,0,0,0,0,0,0,0,0,0,0,-427,429
0.304,0,0,0,0,0,0,0,0,0,0,0,0,0,-450,452
0.312,0,0,0,0,0,0,0,0,0,0,0,0,0,-473,475
0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,-496,499
0.328,0,0,0,0,0,0,0,0,0,0,0,0,0,-520,523
0.336,0,0,0,0,0,0,0,0,0,0,0,0,0,-545,548
0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,-570,573
0.352,0,0,0,0,0,0,0,0,0,0,0,0,0,-596,599
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,-622,625
